,acc,f1
0,0.974461498774668,0.4983877208822391
1,0.7398478793347943,0.2461002965063813
2,0.9785944551901998,0.4910380399742102
3,0.9757544493164818,0.4913592984266185
4,0.981297562233974,0.4934863923642461
5,0.7428424039205571,0.2501934485426876
6,0.9730426931510384,0.4942602863407713
7,0.5056759545923633,0.0
8,0.9316569954867828,0.472856221792392
9,0.9761382690571392,0.475815813233587
10,0.4928414807171417,0.0
11,0.4979365488779984,0.0009027598658756
12,0.9668472652218782,0.5006449948400413
13,0.4997420686097498,0.4997420686097498
14,0.9624806601340896,0.4787261474987107
15,0.9747259832366216,0.4898774983881367
16,0.9787179156455564,0.4950341803172965
17,0.968407479045777,0.4882011605415861
18,0.9604075315965952,0.4792365230848594
19,0.9641660221706624,0.4855632895076051
20,0.9682744389992262,0.4841372194996131
21,0.9794944544751096,0.4923910239876193
22,0.9765252160454018,0.4923255513994582
23,0.8537529017281403,0.4445447510962084
24,0.9588546369147427,0.4909067457758287
