Subset_ID,Shapely_Value R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0,4018.0312061889,6654.07671374849,6654.07671374849,6654.07671374849,6654.07671374849,6654.07671374849,6654.07671374849,6654.07671374849,6657.80469994904,6657.80469994904
1,6624.17317538261,3969.35160141601,6624.17317538261,6624.17317538261,6624.17317538261,6624.17317538261,6624.17317538261,6624.17317538261,6627.84867573164,6627.84867573164
2,6628.8260284817,6628.8260284817,4001.7320057433,6628.8260284817,6628.8260284817,6628.8260284817,6628.8260284817,6628.8260284817,6632.43013032063,6632.43013032063
3,6615.1544653399,6615.1544653399,6615.1544653399,3991.00891261278,6615.1544653399,6615.1544653399,6615.1544653399,6610.60417306229,6618.79223023559,6618.79223023559
4,6643.77691494586,6643.77691494586,6643.77691494586,6643.77691494586,4024.60411971292,6643.77691494586,6643.77691494586,6647.50312008199,6647.50312008199,6647.50312008199
5,6630.91241917634,6630.91241917634,6630.91241917634,6630.91241917634,6630.91241917634,4019.62711160567,6630.91241917634,6634.27528491242,6634.27528491242,6634.27528491242
6,6595.41385145774,6595.41385145774,6595.41385145774,6595.41385145774,6595.41385145774,6595.41385145774,3994.86676266185,6598.82875979463,6598.82875979463,6598.82875979463
7,6634.4385519551,6634.4385519551,6634.4385519551,6634.4385519551,6634.4385519551,6634.4385519551,6634.4385519551,4022.23776067114,6637.82729159696,6637.82729159696
8,6635.70017632749,6635.70017632749,6635.70017632749,6635.70017632749,6635.70017632749,6635.70017632749,6635.70017632749,6639.25552809637,3980.17295401181,6639.25552809637
9,6652.25322345078,6652.25322345078,6652.25322345078,6652.25322345078,6652.25322345078,6652.25322345078,6652.25322345078,6655.60056037859,6655.60056037859,3973.98256862782
